2024-08-05 07:12:00.844 -07:00 | Internal            | Logger         | Started logging.
2024-08-05 07:12:00.844 -07:00 | Internal            | Logger         | Game version: 13.5.1.
2024-08-05 07:12:00.844 -07:00 | Internal            | Logger         | Build type: Release.
2024-08-05 07:12:00.844 -07:00 | Internal            | Logger         | Build timestamp: 2024-07-20 16:26:48Z.
2024-08-05 07:12:00.844 -07:00 | Internal            | Logger         | Headless: True.
2024-08-05 07:12:08.107 -07:00 | Connection update   | Networking     | 76561199636742524@steam preauthenticated from endpoint 217.107.199.158:65243.
2024-08-05 07:12:08.118 -07:00 | Connection update   | Networking     | 76561199737258064@steam preauthenticated from endpoint 213.135.80.61:52169.
2024-08-05 07:12:08.127 -07:00 | Connection update   | Networking     | 76561199507981263@steam preauthenticated from endpoint 95.83.1.110:52924.
2024-08-05 07:12:08.161 -07:00 | Connection update   | Networking     | 76561199547420898@steam preauthenticated from endpoint 83.139.170.206:3856.
2024-08-05 07:12:08.173 -07:00 | Connection update   | Networking     | 76561199208900957@steam preauthenticated from endpoint 195.211.253.71:1265.
2024-08-05 07:12:08.201 -07:00 | Connection update   | Networking     | 76561198066444534@steam preauthenticated from endpoint 5.29.103.95:55703.
2024-08-05 07:12:08.509 -07:00 | Connection update   | Networking     | 76561199446325880@steam preauthenticated from endpoint 176.59.96.213:64240.
2024-08-05 07:12:09.311 -07:00 | Connection update   | Networking     | 76561198268089417@steam preauthenticated from endpoint 83.139.129.162:1321.
2024-08-05 07:12:09.632 -07:00 | Connection update   | Networking     | 76561199571646578@steam preauthenticated from endpoint 5.180.240.74:61876.
2024-08-05 07:12:14.875 -07:00 | Connection update   | Networking     | 76561199507981263@steam authenticated from endpoint 95.83.1.110:52924. Player ID assigned: 16. Auth token serial number: UIXhTLyJ-N0yGQMz3.
2024-08-05 07:12:14.875 -07:00 | Connection update   | Networking     | Nickname of 76561199507981263@steam is now Neo.
2024-08-05 07:12:16.421 -07:00 | Connection update   | Networking     | 76561199208900957@steam authenticated from endpoint 195.211.253.71:1265. Player ID assigned: 28. Auth token serial number: 1IW2PrIc-o/koquu4.
2024-08-05 07:12:16.421 -07:00 | Connection update   | Networking     | Nickname of 76561199208900957@steam is now xanter.
2024-08-05 07:12:17.728 -07:00 | Connection update   | Networking     | 76561199636742524@steam authenticated from endpoint 217.107.199.158:65243. Player ID assigned: 20. Auth token serial number: ePUMrwN/-vOZbXQBt.
2024-08-05 07:12:17.728 -07:00 | Connection update   | Networking     | Nickname of 76561199636742524@steam is now lololinno6.
2024-08-05 07:12:17.815 -07:00 | Connection update   | Networking     | (null) (null) disconnected from IP address 176.59.96.213. Last class: None.
2024-08-05 07:12:18.383 -07:00 | Connection update   | Networking     | 76561199547420898@steam authenticated from endpoint 83.139.170.206:3856. Player ID assigned: 32. Auth token serial number: 2UOu66aU-L5ZXxDcf.
2024-08-05 07:12:18.383 -07:00 | Connection update   | Networking     | Nickname of 76561199547420898@steam is now Su0rT1k.
2024-08-05 07:12:18.383 -07:00 | Connection update   | Permissions    | Su0rT1k (76561199547420898@steam) has been assigned to group Заместитель Владельца 💜.
2024-08-05 07:12:18.903 -07:00 | Connection update   | Networking     | 76561198066444534@steam authenticated from endpoint 5.29.103.95:55703. Player ID assigned: 7. Auth token serial number: T1j9voRE-tFUMYPOy.
2024-08-05 07:12:18.903 -07:00 | Connection update   | Networking     | Nickname of 76561198066444534@steam is now efi1996vx.
2024-08-05 07:12:19.271 -07:00 | Connection update   | Networking     | 76561199737258064@steam authenticated from endpoint 213.135.80.61:52169. Player ID assigned: 22. Auth token serial number: sZYnNkeB-Eo9alrS4.
2024-08-05 07:12:19.271 -07:00 | Connection update   | Networking     | Nickname of 76561199737258064@steam is now m0d1e.
2024-08-05 07:12:22.614 -07:00 | Connection update   | Networking     | 76561198268089417@steam authenticated from endpoint 83.139.129.162:1321. Player ID assigned: 12. Auth token serial number: EMkRZ0Hr-rHIFjdoV.
2024-08-05 07:12:22.614 -07:00 | Connection update   | Networking     | Nickname of 76561198268089417@steam is now pokakal kt.
