2024-08-06 03:56:35.771 -07:00 | Internal            | Logger         | Started logging.
2024-08-06 03:56:35.771 -07:00 | Internal            | Logger         | Game version: 13.5.1.
2024-08-06 03:56:35.771 -07:00 | Internal            | Logger         | Build type: Release.
2024-08-06 03:56:35.771 -07:00 | Internal            | Logger         | Build timestamp: 2024-07-20 16:26:48Z.
2024-08-06 03:56:35.771 -07:00 | Internal            | Logger         | Headless: True.
2024-08-06 03:56:40.267 -07:00 | Connection update   | Networking     | 76561199702397511@steam preauthenticated from endpoint 79.164.49.174:11162.
2024-08-06 03:56:40.350 -07:00 | Connection update   | Networking     | 76561199103754081@steam preauthenticated from endpoint 37.157.145.203:54974.
2024-08-06 03:56:40.749 -07:00 | Connection update   | Networking     | 76561199567545029@steam preauthenticated from endpoint 87.117.60.19:34624.
2024-08-06 03:56:40.781 -07:00 | Connection update   | Networking     | 76561199520684589@steam preauthenticated from endpoint 188.162.180.108:13387.
2024-08-06 03:56:41.099 -07:00 | Connection update   | Networking     | 76561199547420898@steam preauthenticated from endpoint 83.139.170.206:6144.
2024-08-06 03:56:42.135 -07:00 | Connection update   | Networking     | 76561199560067996@steam preauthenticated from endpoint 178.158.1.209:65501.
2024-08-06 03:56:45.907 -07:00 | Connection update   | Networking     | 76561199645814845@steam preauthenticated from endpoint 46.159.70.94:65084.
2024-08-06 03:56:49.073 -07:00 | Connection update   | Networking     | 76561199702397511@steam authenticated from endpoint 79.164.49.174:11162. Player ID assigned: 14. Auth token serial number: 4h/r3u1l-DBpXGuLW.
2024-08-06 03:56:49.073 -07:00 | Connection update   | Networking     | Nickname of 76561199702397511@steam is now Egor4ik.
2024-08-06 03:56:49.378 -07:00 | Connection update   | Networking     | 76561199103754081@steam authenticated from endpoint 37.157.145.203:54974. Player ID assigned: 19. Auth token serial number: 9XSTjKXU-1Y3gMUKM.
2024-08-06 03:56:49.378 -07:00 | Connection update   | Networking     | Nickname of 76561199103754081@steam is now Mr pelmen.
2024-08-06 03:56:49.379 -07:00 | Connection update   | Permissions    | Mr pelmen (76561199103754081@steam) has been assigned to group Заведующий events 🛡.
2024-08-06 03:56:50.300 -07:00 | Connection update   | Networking     | 76561199520684589@steam authenticated from endpoint 188.162.180.108:13387. Player ID assigned: 11. Auth token serial number: RZwRixmJ-5W2jFurH.
2024-08-06 03:56:50.300 -07:00 | Connection update   | Networking     | Nickname of 76561199520684589@steam is now Faseg fop.
2024-08-06 03:56:50.301 -07:00 | Connection update   | Permissions    | Faseg fop (76561199520684589@steam) has been assigned to group Стажёр 👤.
2024-08-06 03:56:51.230 -07:00 | Connection update   | Networking     | 76561199567545029@steam authenticated from endpoint 87.117.60.19:34624. Player ID assigned: 28. Auth token serial number: neD1JxfT-7nGpoqbz.
2024-08-06 03:56:51.230 -07:00 | Connection update   | Networking     | Nickname of 76561199567545029@steam is now zaron9zaron9.
2024-08-06 03:56:51.233 -07:00 | Connection update   | Permissions    | zaron9zaron9 (76561199567545029@steam) has been assigned to group Стажёр 👤.
2024-08-06 03:56:53.061 -07:00 | Connection update   | Networking     | 76561199547420898@steam authenticated from endpoint 83.139.170.206:6144. Player ID assigned: 7. Auth token serial number: 6YGg1pAI-9oD0Y88d.
2024-08-06 03:56:53.061 -07:00 | Connection update   | Networking     | Nickname of 76561199547420898@steam is now Su0rT1k.
2024-08-06 03:56:53.062 -07:00 | Connection update   | Permissions    | Su0rT1k (76561199547420898@steam) has been assigned to group Заместитель Владельца 💜.
2024-08-06 03:56:55.436 -07:00 | Connection update   | Networking     | Egor4ik (76561199702397511@steam) disconnected from IP address 79.164.49.174. Last class: None.
2024-08-06 03:56:56.637 -07:00 | Connection update   | Networking     | 76561199745101228@steam preauthenticated from endpoint 185.110.11.19:53675.
2024-08-06 03:56:58.686 -07:00 | Connection update   | Networking     | 76561199560067996@steam authenticated from endpoint 178.158.1.209:65501. Player ID assigned: 16. Auth token serial number: HChbwH2a-ROGBeMAL.
2024-08-06 03:56:58.686 -07:00 | Connection update   | Networking     | Nickname of 76561199560067996@steam is now Чипсы с Крыбом.
2024-08-06 03:57:04.573 -07:00 | Remote Admin        | Administrative | Su0rT1k (76561199547420898@steam) enabled lobby lock.
2024-08-06 03:57:06.184 -07:00 | Remote Admin        | Administrative | Su0rT1k (76561199547420898@steam) disabled lobby lock.
2024-08-06 03:57:07.965 -07:00 | Connection update   | Networking     | 76561199645814845@steam authenticated from endpoint 46.159.70.94:65084. Player ID assigned: 20. Auth token serial number: Ct4tpmPW-mS/wEGjO.
2024-08-06 03:57:07.965 -07:00 | Connection update   | Networking     | Nickname of 76561199645814845@steam is now ٴٴٴٴٴ.
2024-08-06 03:57:07.965 -07:00 | Connection update   | Networking     | ٴٴٴٴٴ (76561199645814845@steam) connected from IP address 46.159.70.94 sent Do Not Track signal.
2024-08-06 03:57:13.464 -07:00 | Connection update   | Networking     | 76561199745101228@steam authenticated from endpoint 185.110.11.19:53675. Player ID assigned: 29. Auth token serial number: upiehWLL-WYHr8ahw.
2024-08-06 03:57:13.464 -07:00 | Connection update   | Networking     | Nickname of 76561199745101228@steam is now Kutzo.
2024-08-06 03:57:31.062 -07:00 | Game Event          | Logger         | Round has been started.
2024-08-06 03:57:46.156 -07:00 | Connection update   | Networking     | 76561199130413743@steam preauthenticated from endpoint 5.44.173.29:60293.
2024-08-06 03:57:50.797 -07:00 | Connection update   | Networking     | 76561199702397511@steam preauthenticated from endpoint 79.164.49.174:11170.
2024-08-06 03:58:00.144 -07:00 | Connection update   | Networking     | 76561199702397511@steam authenticated from endpoint 79.164.49.174:11170. Player ID assigned: 27. Auth token serial number: 4h/r3u1l-3iKGrAs4.
2024-08-06 03:58:00.145 -07:00 | Connection update   | Networking     | Nickname of 76561199702397511@steam is now Egor4ik.
2024-08-06 03:58:31.111 -07:00 | Connection update   | Networking     | 76561199130413743@steam authenticated from endpoint 5.44.173.29:60293. Player ID assigned: 18. Auth token serial number: EHSqYZgN-7WmxPBfy.
2024-08-06 03:58:31.111 -07:00 | Connection update   | Networking     | Nickname of 76561199130413743@steam is now sashasashaYT_top4ik.
2024-08-06 03:58:31.112 -07:00 | Connection update   | Permissions    | sashasashaYT_top4ik (76561199130413743@steam) has been assigned to group Владелец 👑.
2024-08-06 03:58:58.535 -07:00 | Kill                | Class change   | Faseg fop (76561199520684589@steam), playing as Class-D Personnel, has been killed by Mr pelmen (76561199103754081@steam) playing as: SCP-173. Specific death reason: Died to SCP (Mr pelmen, Scp173).
2024-08-06 03:59:33.587 -07:00 | Kill                | Class change   | Kutzo (76561199745101228@steam), playing as Class-D Personnel, has been killed by Mr pelmen (76561199103754081@steam) playing as: SCP-173. Specific death reason: Died to SCP (Mr pelmen, Scp173).
2024-08-06 03:59:50.446 -07:00 | Kill                | Class change   | Su0rT1k (76561199547420898@steam), playing as Facility Guard, has been killed by Mr pelmen (76561199103754081@steam) playing as: SCP-173. Specific death reason: Died to SCP (Mr pelmen, Scp173).
2024-08-06 04:00:44.007 -07:00 | Remote Admin        | Class change   | Su0rT1k (76561199547420898@steam) changed role of player Su0rT1k (76561199547420898@steam) to Tutorial.
