2024-08-05 03:31:00.527 -07:00 | Internal            | Logger         | Started logging.
2024-08-05 03:31:00.527 -07:00 | Internal            | Logger         | Game version: 13.5.1.
2024-08-05 03:31:00.527 -07:00 | Internal            | Logger         | Build type: Release.
2024-08-05 03:31:00.527 -07:00 | Internal            | Logger         | Build timestamp: 2024-07-20 16:26:48Z.
2024-08-05 03:31:00.527 -07:00 | Internal            | Logger         | Headless: True.
2024-08-05 03:31:06.566 -07:00 | Connection update   | Networking     | 76561199524920649@steam preauthenticated from endpoint 89.109.47.142:13891.
2024-08-05 03:31:06.571 -07:00 | Connection update   | Networking     | 76561199466370636@steam preauthenticated from endpoint 46.16.229.46:9754.
2024-08-05 03:31:06.647 -07:00 | Connection update   | Networking     | 76561199520684589@steam preauthenticated from endpoint 188.162.180.26:42622.
2024-08-05 03:31:06.670 -07:00 | Connection update   | Networking     | 76561199569405423@steam preauthenticated from endpoint 95.153.162.251:59574.
2024-08-05 03:31:06.807 -07:00 | Connection update   | Networking     | 76561199737258064@steam preauthenticated from endpoint 213.135.80.61:59581.
2024-08-05 03:31:07.405 -07:00 | Connection update   | Networking     | 76561199547420898@steam preauthenticated from endpoint 83.139.170.206:3854.
2024-08-05 03:31:07.474 -07:00 | Connection update   | Networking     | 76561199160935984@steam preauthenticated from endpoint 176.59.119.195:60780.
2024-08-05 03:31:07.493 -07:00 | Connection update   | Networking     | 76561199335833025@steam preauthenticated from endpoint 87.117.60.27:24020.
2024-08-05 03:31:07.498 -07:00 | Connection update   | Networking     | 76561198268089417@steam preauthenticated from endpoint 83.139.129.162:1317.
2024-08-05 03:31:07.732 -07:00 | Connection update   | Networking     | 76561199446325880@steam preauthenticated from endpoint 176.59.96.213:20839.
2024-08-05 03:31:10.641 -07:00 | Connection update   | Networking     | 76561199620582963@steam preauthenticated from endpoint 46.147.226.194:57229.
2024-08-05 03:31:14.849 -07:00 | Connection update   | Networking     | 76561199524920649@steam authenticated from endpoint 89.109.47.142:13891. Player ID assigned: 11. Auth token serial number: 5qttoAWj-xA1dYYcP.
2024-08-05 03:31:14.849 -07:00 | Connection update   | Networking     | Nickname of 76561199524920649@steam is now Тёмка Картонка.
2024-08-05 03:31:14.965 -07:00 | Connection update   | Networking     | 76561199520684589@steam authenticated from endpoint 188.162.180.26:42622. Player ID assigned: 12. Auth token serial number: 8SvtQRcn-0HT6q/eY.
2024-08-05 03:31:14.965 -07:00 | Connection update   | Networking     | Nickname of 76561199520684589@steam is now Faseg fop.
2024-08-05 03:31:16.385 -07:00 | Connection update   | Networking     | 76561199466370636@steam authenticated from endpoint 46.16.229.46:9754. Player ID assigned: 17. Auth token serial number: zHPoORsX-Sx2Z5bVg.
2024-08-05 03:31:16.385 -07:00 | Connection update   | Networking     | Nickname of 76561199466370636@steam is now Red.
2024-08-05 03:31:16.837 -07:00 | Connection update   | Networking     | 76561199569405423@steam authenticated from endpoint 95.153.162.251:59574. Player ID assigned: 27. Auth token serial number: VuAnCmDd-jYv6t4NE.
2024-08-05 03:31:16.837 -07:00 | Connection update   | Networking     | Nickname of 76561199569405423@steam is now rubenansaak93.
2024-08-05 03:31:16.887 -07:00 | Connection update   | Networking     | 76561199335833025@steam authenticated from endpoint 87.117.60.27:24020. Player ID assigned: 14. Auth token serial number: 62krkFhi-b1ZRFZVR.
2024-08-05 03:31:16.887 -07:00 | Connection update   | Networking     | Nickname of 76561199335833025@steam is now Ванёкус.
2024-08-05 03:31:17.059 -07:00 | Connection update   | Networking     | 76561199645814845@steam preauthenticated from endpoint 85.174.201.45:4023.
2024-08-05 03:31:17.428 -07:00 | Connection update   | Networking     | 76561199547420898@steam authenticated from endpoint 83.139.170.206:3854. Player ID assigned: 8. Auth token serial number: nLjwRu5f-SitmbNYP.
2024-08-05 03:31:17.428 -07:00 | Connection update   | Networking     | Nickname of 76561199547420898@steam is now Su0rT1k.
2024-08-05 03:31:17.429 -07:00 | Connection update   | Permissions    | Su0rT1k (76561199547420898@steam) has been assigned to group Заместитель Владельца 💜.
2024-08-05 03:31:17.800 -07:00 | Connection update   | Networking     | Ванёкус (76561199335833025@steam) disconnected from IP address 87.117.60.27. Last class: None.
2024-08-05 03:31:18.317 -07:00 | Connection update   | Networking     | 76561199737258064@steam authenticated from endpoint 213.135.80.61:59581. Player ID assigned: 38. Auth token serial number: aJts3UGX-ERcvKuO7.
2024-08-05 03:31:18.317 -07:00 | Connection update   | Networking     | Nickname of 76561199737258064@steam is now m0d1e.
2024-08-05 03:31:18.805 -07:00 | Connection update   | Networking     | 76561199446325880@steam authenticated from endpoint 176.59.96.213:20839. Player ID assigned: 15. Auth token serial number: sBKzv2mO-Vs64TmdX.
2024-08-05 03:31:18.805 -07:00 | Connection update   | Networking     | Nickname of 76561199446325880@steam is now SerVax.
2024-08-05 03:31:18.806 -07:00 | Connection update   | Permissions    | SerVax (76561199446325880@steam) has been assigned to group Заведующий Администрацией 🔰.
2024-08-05 03:31:19.126 -07:00 | Connection update   | Networking     | 76561198268089417@steam authenticated from endpoint 83.139.129.162:1317. Player ID assigned: 6. Auth token serial number: /qjhllxB-bvTPcZMW.
2024-08-05 03:31:19.126 -07:00 | Connection update   | Networking     | Nickname of 76561198268089417@steam is now pokakal kt.
2024-08-05 03:31:19.127 -07:00 | Connection update   | Permissions    | pokakal kt (76561198268089417@steam) has been assigned to group Стажёр 👤.
2024-08-05 03:31:19.217 -07:00 | Connection update   | Networking     | 76561198964645977@steam preauthenticated from endpoint 31.133.76.97:58920.
2024-08-05 03:31:20.121 -07:00 | Connection update   | Networking     | 76561199620582963@steam authenticated from endpoint 46.147.226.194:57229. Player ID assigned: 4. Auth token serial number: MhGuiDcr-wfobZEFu.
2024-08-05 03:31:20.121 -07:00 | Connection update   | Networking     | Nickname of 76561199620582963@steam is now Mashinist [YT].
2024-08-05 03:31:20.122 -07:00 | Connection update   | Permissions    | Mashinist [YT] (76561199620582963@steam) has been assigned to group Технический Администратор 💻.
2024-08-05 03:31:30.790 -07:00 | Remote Admin        | Administrative | Su0rT1k (76561199547420898@steam) enabled lobby lock.
2024-08-05 03:31:31.579 -07:00 | Remote Admin        | Administrative | Su0rT1k (76561199547420898@steam) disabled lobby lock.
2024-08-05 03:31:35.590 -07:00 | Connection update   | Networking     | 76561199645814845@steam authenticated from endpoint 85.174.201.45:4023. Player ID assigned: 21. Auth token serial number: 6t0TV9yj-s8z0Qi7f.
2024-08-05 03:31:35.591 -07:00 | Connection update   | Networking     | Nickname of 76561199645814845@steam is now ٴٴٴٴٴ.
2024-08-05 03:31:38.374 -07:00 | Connection update   | Networking     | 76561199160935984@steam preauthenticated from endpoint 176.59.119.195:43011.
2024-08-05 03:31:48.147 -07:00 | Connection update   | Networking     | 76561199160935984@steam authenticated from endpoint 176.59.119.195:43011. Player ID assigned: 37. Auth token serial number: owzMW1Zs-lV6KSXm/.
2024-08-05 03:31:48.147 -07:00 | Connection update   | Networking     | Nickname of 76561199160935984@steam is now HelKin^^.
2024-08-05 03:31:48.148 -07:00 | Connection update   | Permissions    | HelKin^^ (76561199160935984@steam) has been assigned to group Стажёр 👤.
2024-08-05 03:31:56.516 -07:00 | Game Event          | Logger         | Round has been started.
2024-08-05 03:32:43.225 -07:00 | Kill                | Class change   | rubenansaak93 (76561199569405423@steam), playing as Facility Guard, has died. Specific death reason: Decayed in the Pocket Dimension.
2024-08-05 03:33:11.991 -07:00 | Connection update   | Networking     | 76561198964645977@steam authenticated from endpoint 31.133.76.97:58920. Player ID assigned: 30. Auth token serial number: w5VST34x-tM3v5J1a.
2024-08-05 03:33:11.991 -07:00 | Connection update   | Networking     | Nickname of 76561198964645977@steam is now Fanselid.
2024-08-05 03:35:16.957 -07:00 | Connection update   | Networking     | 76561198066444534@steam preauthenticated from endpoint 5.29.103.95:62559.
2024-08-05 03:35:30.451 -07:00 | Connection update   | Networking     | 76561199497656883@steam preauthenticated from endpoint 93.116.187.179:59117.
2024-08-05 03:35:35.467 -07:00 | Connection update   | Networking     | 76561198066444534@steam authenticated from endpoint 5.29.103.95:62559. Player ID assigned: 31. Auth token serial number: Aj/gm6hH-yDBbWpiO.
2024-08-05 03:35:35.467 -07:00 | Connection update   | Networking     | Nickname of 76561198066444534@steam is now efi1996vx.
2024-08-05 03:36:27.369 -07:00 | Connection update   | Networking     | 76561199497656883@steam authenticated from endpoint 93.116.187.179:59117. Player ID assigned: 40. Auth token serial number: rnqT7hBT-dyIPgfzz.
2024-08-05 03:36:27.369 -07:00 | Connection update   | Networking     | Nickname of 76561199497656883@steam is now 摩爾貓.
2024-08-05 03:36:38.003 -07:00 | Connection update   | Networking     | 摩爾貓 (76561199497656883@steam) disconnected from IP address 93.116.187.179. Last class: Spectator.
2024-08-05 03:37:05.462 -07:00 | Game Event          | Class change   | Player efi1996vx (76561198066444534@steam) respawned as ChaosRifleman.
2024-08-05 03:37:05.470 -07:00 | Game Event          | Class change   | Player Fanselid (76561198964645977@steam) respawned as ChaosRifleman.
2024-08-05 03:37:05.478 -07:00 | Game Event          | Class change   | Player rubenansaak93 (76561199569405423@steam) respawned as ChaosRifleman.
2024-08-05 03:37:05.478 -07:00 | Game Event          | Class change   | RespawnManager has successfully spawned 3 players as ChaosInsurgency!
2024-08-05 03:38:01.225 -07:00 | Connection update   | Networking     | 76561199555589810@steam preauthenticated from endpoint 95.32.141.237:2133.
