2024-08-05 09:25:45.344 -07:00 | Internal            | Logger         | Started logging.
2024-08-05 09:25:45.344 -07:00 | Internal            | Logger         | Game version: 13.5.1.
2024-08-05 09:25:45.344 -07:00 | Internal            | Logger         | Build type: Release.
2024-08-05 09:25:45.344 -07:00 | Internal            | Logger         | Build timestamp: 2024-07-20 16:26:48Z.
2024-08-05 09:25:45.344 -07:00 | Internal            | Logger         | Headless: True.
2024-08-05 09:25:53.775 -07:00 | Connection update   | Networking     | 76561199104993844@steam preauthenticated from endpoint 178.155.124.73:52425.
2024-08-05 09:25:53.786 -07:00 | Connection update   | Networking     | 76561199507981263@steam preauthenticated from endpoint 95.83.1.110:52269.
2024-08-05 09:25:53.796 -07:00 | Connection update   | Networking     | 76561199134987836@steam preauthenticated from endpoint 95.32.41.86:51134.
2024-08-05 09:25:53.806 -07:00 | Connection update   | Networking     | 76561199738553167@steam preauthenticated from endpoint 94.233.251.28:3038.
2024-08-05 09:25:53.814 -07:00 | Connection update   | Networking     | 76561199140437536@steam preauthenticated from endpoint 185.15.38.75:19587.
2024-08-05 09:25:53.817 -07:00 | Connection update   | Networking     | 76561199216801848@steam preauthenticated from endpoint 46.172.30.34:58874.
2024-08-05 09:25:53.822 -07:00 | Connection update   | Networking     | 76561199745416315@steam preauthenticated from endpoint 94.233.241.30:11288.
2024-08-05 09:25:53.975 -07:00 | Connection update   | Networking     | 76561199636742524@steam preauthenticated from endpoint 217.107.199.158:55133.
2024-08-05 09:25:53.982 -07:00 | Connection update   | Networking     | 76561199492605595@steam preauthenticated from endpoint 178.155.127.74:59780.
2024-08-05 09:25:54.008 -07:00 | Connection update   | Networking     | 76561199261129915@steam preauthenticated from endpoint 95.25.104.247:1844.
2024-08-05 09:25:54.015 -07:00 | Connection update   | Networking     | 76561198149454220@steam preauthenticated from endpoint 188.128.68.253:14994.
2024-08-05 09:26:00.031 -07:00 | Connection update   | Networking     | 76561199401547259@steam preauthenticated from endpoint 31.180.159.47:56309.
2024-08-05 09:26:00.671 -07:00 | Connection update   | Networking     | 76561199507981263@steam authenticated from endpoint 95.83.1.110:52269. Player ID assigned: 18. Auth token serial number: DUIgaYRA-kauE2Bpv.
2024-08-05 09:26:00.671 -07:00 | Connection update   | Networking     | Nickname of 76561199507981263@steam is now Neo.
2024-08-05 09:26:01.451 -07:00 | Connection update   | Networking     | 76561199134987836@steam authenticated from endpoint 95.32.41.86:51134. Player ID assigned: 11. Auth token serial number: UKhjtgxw-ZPPMG4LM.
2024-08-05 09:26:01.451 -07:00 | Connection update   | Networking     | Nickname of 76561199134987836@steam is now dark.
2024-08-05 09:26:02.854 -07:00 | Connection update   | Networking     | 76561199104993844@steam authenticated from endpoint 178.155.124.73:52425. Player ID assigned: 21. Auth token serial number: bdKzQEQ5-9UG6be6j.
2024-08-05 09:26:02.854 -07:00 | Connection update   | Networking     | Nickname of 76561199104993844@steam is now Пхеньян.
2024-08-05 09:26:03.361 -07:00 | Connection update   | Networking     | 76561199738553167@steam authenticated from endpoint 94.233.251.28:3038. Player ID assigned: 37. Auth token serial number: oJ40JaiL-4Bxj/NHm.
2024-08-05 09:26:03.361 -07:00 | Connection update   | Networking     | Nickname of 76561199738553167@steam is now Skibidist228.
2024-08-05 09:26:03.647 -07:00 | Connection update   | Networking     | 76561199216801848@steam authenticated from endpoint 46.172.30.34:58874. Player ID assigned: 15. Auth token serial number: DM5w5FS7-s9Z7hNDy.
2024-08-05 09:26:03.647 -07:00 | Connection update   | Networking     | Nickname of 76561199216801848@steam is now StarSword.
2024-08-05 09:26:03.648 -07:00 | Connection update   | Permissions    | StarSword (76561199216801848@steam) has been assigned to group Стажёр 👤.
2024-08-05 09:26:04.300 -07:00 | Connection update   | Networking     | 76561198149454220@steam authenticated from endpoint 188.128.68.253:14994. Player ID assigned: 30. Auth token serial number: CF1EVg0y-N7Ehx1Cy.
2024-08-05 09:26:04.300 -07:00 | Connection update   | Networking     | Nickname of 76561198149454220@steam is now я шпигун.
2024-08-05 09:26:04.405 -07:00 | Connection update   | Networking     | 76561199636742524@steam authenticated from endpoint 217.107.199.158:55133. Player ID assigned: 3. Auth token serial number: ePUMrwN/-oV7O8zyD.
2024-08-05 09:26:04.405 -07:00 | Connection update   | Networking     | Nickname of 76561199636742524@steam is now lololinno6.
2024-08-05 09:26:04.561 -07:00 | Connection update   | Networking     | 76561199140437536@steam authenticated from endpoint 185.15.38.75:19587. Player ID assigned: 33. Auth token serial number: NY3snL2C-pmZfmhcP.
2024-08-05 09:26:04.561 -07:00 | Connection update   | Networking     | Nickname of 76561199140437536@steam is now tailer.
2024-08-05 09:26:04.680 -07:00 | Connection update   | Networking     | 76561199745416315@steam authenticated from endpoint 94.233.241.30:11288. Player ID assigned: 5. Auth token serial number: bnrQosS4-202mctw9.
2024-08-05 09:26:04.680 -07:00 | Connection update   | Networking     | Nickname of 76561199745416315@steam is now shernyshevdemed13.
2024-08-05 09:26:06.818 -07:00 | Connection update   | Networking     | 76561199492605595@steam authenticated from endpoint 178.155.127.74:59780. Player ID assigned: 41. Auth token serial number: v7gBuLqS-121EuRNh.
2024-08-05 09:26:06.818 -07:00 | Connection update   | Networking     | Nickname of 76561199492605595@steam is now dungeon master333.
