2024-08-04 06:37:11.539 -07:00 | Internal            | Logger         | Started logging.
2024-08-04 06:37:11.539 -07:00 | Internal            | Logger         | Game version: 13.5.1.
2024-08-04 06:37:11.539 -07:00 | Internal            | Logger         | Build type: Release.
2024-08-04 06:37:11.539 -07:00 | Internal            | Logger         | Build timestamp: 2024-07-20 16:26:48Z.
2024-08-04 06:37:11.539 -07:00 | Internal            | Logger         | Headless: True.
2024-08-04 06:37:16.268 -07:00 | Connection update   | Networking     | 76561199143985401@steam preauthenticated from endpoint 85.172.100.212:3706.
2024-08-04 06:37:16.363 -07:00 | Connection update   | Networking     | 76561199636742524@steam preauthenticated from endpoint 217.107.199.158:60160.
2024-08-04 06:37:16.375 -07:00 | Connection update   | Networking     | 76561199367117384@steam preauthenticated from endpoint 178.155.26.91:50878.
2024-08-04 06:37:16.485 -07:00 | Connection update   | Networking     | 76561199735692353@steam preauthenticated from endpoint 185.140.162.79:2565.
2024-08-04 06:37:16.653 -07:00 | Connection update   | Networking     | 76561199520684589@steam preauthenticated from endpoint 188.162.180.32:36023.
2024-08-04 06:37:16.663 -07:00 | Connection update   | Networking     | 76561199737258064@steam preauthenticated from endpoint 213.135.80.61:53198.
2024-08-04 06:37:16.726 -07:00 | Connection update   | Networking     | 76561199216801848@steam preauthenticated from endpoint 46.172.30.34:51069.
2024-08-04 06:37:16.899 -07:00 | Connection update   | Networking     | 76561198451688190@steam preauthenticated from endpoint 46.73.36.232:55308.
2024-08-04 06:37:17.196 -07:00 | Connection update   | Networking     | 76561198268089417@steam preauthenticated from endpoint 83.139.129.162:1792.
2024-08-04 06:37:17.308 -07:00 | Connection update   | Networking     | 76561199512875296@steam preauthenticated from endpoint 193.233.122.90:64793.
2024-08-04 06:37:20.757 -07:00 | Connection update   | Networking     | 76561199547420898@steam preauthenticated from endpoint 83.139.170.206:3591.
2024-08-04 06:37:22.519 -07:00 | Connection update   | Networking     | 76561199240502324@steam preauthenticated from endpoint 213.135.156.75:3254.
2024-08-04 06:37:23.896 -07:00 | Connection update   | Networking     | 76561199143985401@steam authenticated from endpoint 85.172.100.212:3706. Player ID assigned: 1. Auth token serial number: ZfeLs1b6-D1Y7rDT4.
2024-08-04 06:37:23.896 -07:00 | Connection update   | Networking     | Nickname of 76561199143985401@steam is now [FT] ㋡NDubas㋡.
2024-08-04 06:37:24.186 -07:00 | Connection update   | Networking     | 76561199367117384@steam authenticated from endpoint 178.155.26.91:50878. Player ID assigned: 31. Auth token serial number: X8NKLWaU-FUd6X5Pt.
2024-08-04 06:37:24.186 -07:00 | Connection update   | Networking     | Nickname of 76561199367117384@steam is now シ|T1a_Abs4l8t.
2024-08-04 06:37:25.725 -07:00 | Connection update   | Networking     | 76561199636742524@steam authenticated from endpoint 217.107.199.158:60160. Player ID assigned: 35. Auth token serial number: JwyBZEpp-gDno1qFi.
2024-08-04 06:37:25.725 -07:00 | Connection update   | Networking     | Nickname of 76561199636742524@steam is now lololinno6.
2024-08-04 06:37:25.941 -07:00 | Connection update   | Networking     | 76561199520684589@steam authenticated from endpoint 188.162.180.32:36023. Player ID assigned: 14. Auth token serial number: sU6k1vwS-B3nmFypY.
2024-08-04 06:37:25.941 -07:00 | Connection update   | Networking     | Nickname of 76561199520684589@steam is now Faseg fop.
2024-08-04 06:37:26.170 -07:00 | Connection update   | Networking     | 76561199216801848@steam authenticated from endpoint 46.172.30.34:51069. Player ID assigned: 27. Auth token serial number: v6yORn6a-bTVAzZj6.
2024-08-04 06:37:26.170 -07:00 | Connection update   | Networking     | Nickname of 76561199216801848@steam is now StarSword.
2024-08-04 06:37:26.170 -07:00 | Connection update   | Permissions    | StarSword (76561199216801848@steam) has been assigned to group Стажёр 👤.
2024-08-04 06:37:27.351 -07:00 | Connection update   | Networking     | 76561199737258064@steam authenticated from endpoint 213.135.80.61:53198. Player ID assigned: 17. Auth token serial number: olMzy5QU-DStZf3JX.
2024-08-04 06:37:27.351 -07:00 | Connection update   | Networking     | Nickname of 76561199737258064@steam is now m0d1e.
2024-08-04 06:37:28.229 -07:00 | Connection update   | Networking     | 76561198268089417@steam authenticated from endpoint 83.139.129.162:1792. Player ID assigned: 32. Auth token serial number: 6felmmBb-oE7CnNS/.
2024-08-04 06:37:28.229 -07:00 | Connection update   | Networking     | Nickname of 76561198268089417@steam is now pokakal kt.
2024-08-04 06:37:28.231 -07:00 | Connection update   | Permissions    | pokakal kt (76561198268089417@steam) has been assigned to group Стажёр 👤.
2024-08-04 06:37:28.798 -07:00 | Connection update   | Networking     | 76561198451688190@steam authenticated from endpoint 46.73.36.232:55308. Player ID assigned: 19. Auth token serial number: pqXoetIg-j3I1RKmn.
2024-08-04 06:37:28.798 -07:00 | Connection update   | Networking     | Nickname of 76561198451688190@steam is now absolute.
2024-08-04 06:37:29.104 -07:00 | Connection update   | Networking     | 76561199512875296@steam authenticated from endpoint 193.233.122.90:64793. Player ID assigned: 16. Auth token serial number: l1n3HL36-OJO86S//.
2024-08-04 06:37:29.104 -07:00 | Connection update   | Networking     | Nickname of 76561199512875296@steam is now [FT] sigma.
2024-08-04 06:37:31.715 -07:00 | Connection update   | Networking     | 76561199547420898@steam authenticated from endpoint 83.139.170.206:3591. Player ID assigned: 18. Auth token serial number: HjYADICx-9G5oEvDG.
2024-08-04 06:37:31.716 -07:00 | Connection update   | Networking     | Nickname of 76561199547420898@steam is now Su0rT1k.
2024-08-04 06:37:31.716 -07:00 | Connection update   | Permissions    | Su0rT1k (76561199547420898@steam) has been assigned to group Заместитель Владельца 💜.
2024-08-04 06:37:36.766 -07:00 | Connection update   | Networking     | 76561199240502324@steam authenticated from endpoint 213.135.156.75:3254. Player ID assigned: 2. Auth token serial number: IEFpNJTw-SuEcnTNN.
2024-08-04 06:37:36.767 -07:00 | Connection update   | Networking     | Nickname of 76561199240502324@steam is now Maikeru.
2024-08-04 06:37:39.830 -07:00 | Connection update   | Networking     | 76561199735692353@steam authenticated from endpoint 185.140.162.79:2565. Player ID assigned: 25. Auth token serial number: zTsluWtj-kZ91LYXm.
2024-08-04 06:37:39.830 -07:00 | Connection update   | Networking     | Nickname of 76561199735692353@steam is now lobster14501.
2024-08-04 06:37:40.003 -07:00 | Remote Admin        | Administrative | Su0rT1k (76561199547420898@steam) enabled lobby lock.
2024-08-04 06:37:40.526 -07:00 | Remote Admin        | Administrative | Su0rT1k (76561199547420898@steam) enabled round lock.
2024-08-04 06:37:43.613 -07:00 | Remote Admin        | Class change   | Su0rT1k (76561199547420898@steam) changed role of player [FT] ㋡NDubas㋡ (76561199143985401@steam) to Tutorial.
2024-08-04 06:37:43.618 -07:00 | Remote Admin        | Class change   | Su0rT1k (76561199547420898@steam) changed role of player Maikeru (76561199240502324@steam) to Tutorial.
2024-08-04 06:37:43.623 -07:00 | Remote Admin        | Class change   | Su0rT1k (76561199547420898@steam) changed role of player Faseg fop (76561199520684589@steam) to Tutorial.
2024-08-04 06:37:43.629 -07:00 | Remote Admin        | Class change   | Su0rT1k (76561199547420898@steam) changed role of player [FT] sigma (76561199512875296@steam) to Tutorial.
2024-08-04 06:37:43.633 -07:00 | Remote Admin        | Class change   | Su0rT1k (76561199547420898@steam) changed role of player m0d1e (76561199737258064@steam) to Tutorial.
2024-08-04 06:37:43.637 -07:00 | Remote Admin        | Class change   | Su0rT1k (76561199547420898@steam) changed role of player Su0rT1k (76561199547420898@steam) to Tutorial.
2024-08-04 06:37:43.640 -07:00 | Remote Admin        | Class change   | Su0rT1k (76561199547420898@steam) changed role of player absolute (76561198451688190@steam) to Tutorial.
2024-08-04 06:37:43.645 -07:00 | Remote Admin        | Class change   | Su0rT1k (76561199547420898@steam) changed role of player lobster14501 (76561199735692353@steam) to Tutorial.
2024-08-04 06:37:43.649 -07:00 | Remote Admin        | Class change   | Su0rT1k (76561199547420898@steam) changed role of player StarSword (76561199216801848@steam) to Tutorial.
2024-08-04 06:37:43.654 -07:00 | Remote Admin        | Class change   | Su0rT1k (76561199547420898@steam) changed role of player シ|T1a_Abs4l8t (76561199367117384@steam) to Tutorial.
2024-08-04 06:37:43.660 -07:00 | Remote Admin        | Class change   | Su0rT1k (76561199547420898@steam) changed role of player pokakal kt (76561198268089417@steam) to Tutorial.
2024-08-04 06:37:43.666 -07:00 | Remote Admin        | Class change   | Su0rT1k (76561199547420898@steam) changed role of player lololinno6 (76561199636742524@steam) to Tutorial.
2024-08-04 06:37:47.561 -07:00 | Remote Admin        | Class change   | Su0rT1k (76561199547420898@steam) changed role of player [FT] ㋡NDubas㋡ (76561199143985401@steam) to ClassD.
2024-08-04 06:37:47.564 -07:00 | Remote Admin        | Class change   | Su0rT1k (76561199547420898@steam) changed role of player Maikeru (76561199240502324@steam) to ClassD.
2024-08-04 06:37:47.567 -07:00 | Remote Admin        | Class change   | Su0rT1k (76561199547420898@steam) changed role of player Faseg fop (76561199520684589@steam) to ClassD.
2024-08-04 06:37:47.570 -07:00 | Remote Admin        | Class change   | Su0rT1k (76561199547420898@steam) changed role of player [FT] sigma (76561199512875296@steam) to ClassD.
2024-08-04 06:37:47.574 -07:00 | Remote Admin        | Class change   | Su0rT1k (76561199547420898@steam) changed role of player m0d1e (76561199737258064@steam) to ClassD.
2024-08-04 06:37:47.577 -07:00 | Remote Admin        | Class change   | Su0rT1k (76561199547420898@steam) changed role of player Su0rT1k (76561199547420898@steam) to ClassD.
2024-08-04 06:37:47.580 -07:00 | Remote Admin        | Class change   | Su0rT1k (76561199547420898@steam) changed role of player absolute (76561198451688190@steam) to ClassD.
2024-08-04 06:37:47.584 -07:00 | Remote Admin        | Class change   | Su0rT1k (76561199547420898@steam) changed role of player lobster14501 (76561199735692353@steam) to ClassD.
2024-08-04 06:37:47.587 -07:00 | Remote Admin        | Class change   | Su0rT1k (76561199547420898@steam) changed role of player StarSword (76561199216801848@steam) to ClassD.
2024-08-04 06:37:47.592 -07:00 | Remote Admin        | Class change   | Su0rT1k (76561199547420898@steam) changed role of player シ|T1a_Abs4l8t (76561199367117384@steam) to ClassD.
2024-08-04 06:37:47.598 -07:00 | Remote Admin        | Class change   | Su0rT1k (76561199547420898@steam) changed role of player pokakal kt (76561198268089417@steam) to ClassD.
2024-08-04 06:37:47.609 -07:00 | Remote Admin        | Class change   | Su0rT1k (76561199547420898@steam) changed role of player lololinno6 (76561199636742524@steam) to ClassD.
2024-08-04 06:37:50.400 -07:00 | Remote Admin        | Administrative | Su0rT1k (76561199547420898@steam) disabled lobby lock.
2024-08-04 06:37:50.947 -07:00 | Game Event          | Logger         | Round has been started.
2024-08-04 06:37:50.947 -07:00 | Remote Admin        | Administrative | Su0rT1k (76561199547420898@steam) forced round start.
2024-08-04 06:37:54.822 -07:00 | Connection update   | Networking     | 76561199130413743@steam preauthenticated from endpoint 5.44.173.29:56432.
2024-08-04 06:38:00.550 -07:00 | Remote Admin - Misc | Administrative | Su0rT1k (76561199547420898@steam) enabled global intercom transmission for player Su0rT1k (76561199547420898@steam).
