2024-07-31 20:53:27.024 -07:00 | Internal            | Logger         | Started logging.
2024-07-31 20:53:27.024 -07:00 | Internal            | Logger         | Game version: 13.5.1.
2024-07-31 20:53:27.025 -07:00 | Internal            | Logger         | Build type: Release.
2024-07-31 20:53:27.025 -07:00 | Internal            | Logger         | Build timestamp: 2024-07-20 16:26:48Z.
2024-07-31 20:53:27.025 -07:00 | Internal            | Logger         | Headless: True.
2024-07-31 20:53:31.656 -07:00 | Connection update   | Networking     | (null) (null) disconnected from IP address 31.47.163.180. Last class: None.
2024-07-31 20:53:34.887 -07:00 | Connection update   | Networking     | 76561199520420691@steam preauthenticated from endpoint 185.57.31.131:56968.
2024-07-31 20:53:44.085 -07:00 | Connection update   | Networking     | 76561199227085017@steam preauthenticated from endpoint 2.61.114.33:63544.
2024-07-31 20:53:46.925 -07:00 | Connection update   | Networking     | 76561199520420691@steam authenticated from endpoint 185.57.31.131:56968. Player ID assigned: 17. Auth token serial number: DzHTVpnw-0HzKd9TC.
2024-07-31 20:53:46.926 -07:00 | Connection update   | Networking     | Nickname of 76561199520420691@steam is now MrRobot.
2024-07-31 20:53:50.200 -07:00 | Connection update   | Networking     | 76561199624757953@steam preauthenticated from endpoint 31.47.163.180:54853.
2024-07-31 20:53:59.578 -07:00 | Connection update   | Networking     | 76561199624757953@steam authenticated from endpoint 31.47.163.180:54853. Player ID assigned: 22. Auth token serial number: c3LtpXAu-42tHftza.
2024-07-31 20:53:59.578 -07:00 | Connection update   | Networking     | Nickname of 76561199624757953@steam is now P1zz4.
2024-07-31 20:54:17.646 -07:00 | Connection update   | Networking     | 76561199227085017@steam authenticated from endpoint 2.61.114.33:63544. Player ID assigned: 18. Auth token serial number: q9PRDC/M-owjuC5Qe.
2024-07-31 20:54:17.647 -07:00 | Connection update   | Networking     | Nickname of 76561199227085017@steam is now maximgr45.
2024-07-31 20:54:17.648 -07:00 | Connection update   | Permissions    | maximgr45 (76561199227085017@steam) has been assigned to group Стажёр 👤.
2024-07-31 20:54:22.694 -07:00 | Game Event          | Logger         | Round has been started.
2024-07-31 20:55:03.878 -07:00 | Kill                | Class change   | MrRobot (76561199520420691@steam), playing as Facility Guard, has died. Specific death reason: Tesla.
2024-07-31 20:56:48.705 -07:00 | Remote Admin        | Administrative | maximgr45 (76561199227085017@steam) banned player P1zz4 (76561199624757953@steam). Ban duration: 180. Reason: Намеренный выход за SCP.
2024-07-31 20:56:48.892 -07:00 | Kill                | Class change   | P1zz4 (76561199624757953@steam), playing as Class-D Personnel, has died. Specific death reason: Unknown cause of death.
2024-07-31 20:56:48.918 -07:00 | Connection update   | Networking     | P1zz4 (76561199624757953@steam) disconnected from IP address 31.47.163.180. Last class: Spectator.
2024-07-31 20:56:50.730 -07:00 | Game Event          | Logger         | Round finished! Anomalies: 1 | Chaos: 0 | Facility Forces: 0 | D escaped percentage: 0 | S escaped percentage: 1.
2024-07-31 20:57:03.279 -07:00 | Connection update   | Networking     | maximgr45 (76561199227085017@steam) disconnected from IP address 2.61.114.33. Last class: Scp939.
2024-07-31 20:57:03.298 -07:00 | Connection update   | Networking     | MrRobot (76561199520420691@steam) disconnected from IP address 185.57.31.131. Last class: Spectator.
