2024-07-30 06:09:25.299 -07:00 | Internal            | Logger         | Started logging.
2024-07-30 06:09:25.299 -07:00 | Internal            | Logger         | Game version: 13.5.1.
2024-07-30 06:09:25.299 -07:00 | Internal            | Logger         | Build type: Release.
2024-07-30 06:09:25.299 -07:00 | Internal            | Logger         | Build timestamp: 2024-07-20 16:26:48Z.
2024-07-30 06:09:25.299 -07:00 | Internal            | Logger         | Headless: True.
2024-07-30 06:09:29.795 -07:00 | Connection update   | Networking     | 76561199404182734@steam preauthenticated from endpoint 85.172.54.78:58270.
2024-07-30 06:09:30.436 -07:00 | Connection update   | Networking     | 76561199512834723@steam preauthenticated from endpoint 85.26.233.3:7995.
2024-07-30 06:09:31.080 -07:00 | Connection update   | Networking     | 76561199466370636@steam preauthenticated from endpoint 46.16.224.121:49432.
2024-07-30 06:09:31.138 -07:00 | Connection update   | Networking     | 76561198360778302@steam preauthenticated from endpoint 95.167.152.159:50110.
2024-07-30 06:09:31.944 -07:00 | Connection update   | Networking     | 76561199534289409@steam preauthenticated from endpoint 188.162.140.222:7874.
2024-07-30 06:09:35.233 -07:00 | Connection update   | Networking     | 76561199523435144@steam preauthenticated from endpoint 195.64.157.2:3460.
2024-07-30 06:09:36.822 -07:00 | Connection update   | Networking     | 76561199404182734@steam authenticated from endpoint 85.172.54.78:58270. Player ID assigned: 11. Auth token serial number: 7M3PexSR-vObGSD0m.
2024-07-30 06:09:36.822 -07:00 | Connection update   | Networking     | Nickname of 76561199404182734@steam is now ашот ван шот.
2024-07-30 06:09:37.764 -07:00 | Connection update   | Networking     | 76561199512834723@steam authenticated from endpoint 85.26.233.3:7995. Player ID assigned: 32. Auth token serial number: pzizt8c/-C3raRBvw.
2024-07-30 06:09:37.764 -07:00 | Connection update   | Networking     | Nickname of 76561199512834723@steam is now Mr_Qhort567.
2024-07-30 06:09:41.263 -07:00 | Connection update   | Networking     | 76561199534289409@steam authenticated from endpoint 188.162.140.222:7874. Player ID assigned: 8. Auth token serial number: t4TE7ZKx-n5ayI1ri.
2024-07-30 06:09:41.263 -07:00 | Connection update   | Networking     | Nickname of 76561199534289409@steam is now Slavik Game.
2024-07-30 06:09:41.508 -07:00 | Connection update   | Networking     | 76561199466370636@steam authenticated from endpoint 46.16.224.121:49432. Player ID assigned: 33. Auth token serial number: mPS01FxZ-wDTid1QZ.
2024-07-30 06:09:41.508 -07:00 | Connection update   | Networking     | Nickname of 76561199466370636@steam is now Red.
2024-07-30 06:09:41.753 -07:00 | Connection update   | Networking     | 76561198360778302@steam authenticated from endpoint 95.167.152.159:50110. Player ID assigned: 10. Auth token serial number: keu4lB3x-VgxHVxNA.
2024-07-30 06:09:41.753 -07:00 | Connection update   | Networking     | Nickname of 76561198360778302@steam is now ilikerottinginmybed.
2024-07-30 06:09:42.545 -07:00 | Connection update   | Networking     | 76561199029841494@steam preauthenticated from endpoint 178.75.66.181:61615.
2024-07-30 06:09:52.134 -07:00 | Connection update   | Networking     | 76561199227085017@steam preauthenticated from endpoint 2.61.114.33:56297.
2024-07-30 06:09:59.229 -07:00 | Connection update   | Networking     | 76561199523435144@steam authenticated from endpoint 195.64.157.2:3460. Player ID assigned: 17. Auth token serial number: EErSdwOx-sShMa6OY.
2024-07-30 06:09:59.230 -07:00 | Connection update   | Networking     | Nickname of 76561199523435144@steam is now bebro4ka.
2024-07-30 06:09:59.231 -07:00 | Connection update   | Permissions    | bebro4ka (76561199523435144@steam) has been assigned to group Старший Администратор 👤.
2024-07-30 06:10:04.545 -07:00 | Game Event          | Logger         | Round has been started.
2024-07-30 06:10:29.180 -07:00 | Connection update   | Networking     | 76561199227085017@steam authenticated from endpoint 2.61.114.33:56297. Player ID assigned: 16. Auth token serial number: btEBjqOZ-xB3fT16U.
2024-07-30 06:10:29.180 -07:00 | Connection update   | Networking     | Nickname of 76561199227085017@steam is now maximgr45.
2024-07-30 06:10:29.181 -07:00 | Connection update   | Permissions    | maximgr45 (76561199227085017@steam) has been assigned to group Стажёр 👤.
2024-07-30 06:11:11.049 -07:00 | Kill                | Class change   | bebro4ka (76561199523435144@steam), playing as Facility Guard, has been killed by ашот ван шот (76561199404182734@steam) playing as: SCP-173. Specific death reason: Died to SCP (ашот ван шот, Scp173).
2024-07-30 06:11:45.940 -07:00 | Remote Admin        | Class change   | bebro4ka (76561199523435144@steam) changed role of player bebro4ka (76561199523435144@steam) to Overwatch.
2024-07-30 06:12:01.789 -07:00 | Game Event          | Warhead        | ашот ван шот (76561199404182734@steam) set the Alpha Warhead status to True.
